study_id,site_id,core_id,core_count,habitat,management,accumulation_type,carbon_stock,carbon_stock_unit,depth_min_cm,depth_max_cm,pb210_rate,pb210_rate_se,pb210_rate_cic,pb210_rate_cic_se,pb210_rate_unit,cs137_rate,cs137_rate_se,cs137_rate_unit,marker_rate,marker_rate_se,marker_rate_unit,radiocarbon_rate,radiocarbon_rate_se,radiocarbon_rate_unit,SET_rate,SET_rate_se,SET_rate_unit,reported_rates,notes,publication_table
Callaway_et_al_2019,CC_mid,CC_mid_B,1,marsh ,natural,total carbon,,,0,50,78.2,,,,gramsPerSquareMeterPerYear,86.7,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,CC_high,CC_high_A,1,marsh ,natural,total carbon,,,0,50,126.7,,,,gramsPerSquareMeterPerYear,92,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,CC_high,CC_high_B,1,marsh ,natural,total carbon,,,0,50,54.9,,,,gramsPerSquareMeterPerYear,82.1,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,PRM_low,PRM_low_A,1,marsh ,natural,total carbon,,,0,48,57.1,,,,gramsPerSquareMeterPerYear,87.7,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,PRM_mid,PRM_mid_A,1,marsh ,natural,total carbon,,,0,50,49.7,,,,gramsPerSquareMeterPerYear,53.5,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,PRM_mid,PRM_mid_B,1,marsh ,natural,total carbon,,,0,50,65.4,,,,gramsPerSquareMeterPerYear,78.8,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,PRM_high,PRM_high_A,1,marsh ,natural,total carbon,,,0,50,48,,,,gramsPerSquareMeterPerYear,53.5,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,PRM_high,PRM_high_B,1,marsh ,natural,total carbon,,,0,52,NA,,,,,63.8,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,CI_low,CI_low_A,1,marsh ,natural,total carbon,,,0,50,73.4,,,,gramsPerSquareMeterPerYear,142.6,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,CI_low,CI_low_D,1,marsh ,natural,total carbon,,,0,50,149,,,,gramsPerSquareMeterPerYear,232.4,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,CI_mid,CI_mid_A,1,marsh ,natural,total carbon,,,0,50,43.2,,,,gramsPerSquareMeterPerYear,68.2,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,CI_mid,CI_mid_B,1,marsh ,natural,total carbon,,,0,50,30.9,,,,gramsPerSquareMeterPerYear,41.7,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,CI_mid,CI_mid_C,1,marsh ,natural,total carbon,,,0,50,47.1,,,,gramsPerSquareMeterPerYear,47,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,CI_high,CI_high_A,1,marsh ,natural,total carbon,,,0,50,70.2,,,,gramsPerSquareMeterPerYear,72.3,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,CI_high,CI_high_B,1,marsh ,natural,total carbon,,,0,50,NA,,,,,124.7,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,CI_high,CI_high_C,1,marsh,natural,total carbon,,,0,50,35.3,,,,gramsPerSquareMeterPerYear,71.9,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,RR_low,RR_low_A,1,marsh ,natural,total carbon,,,0,50,71,,,,gramsPerSquareMeterPerYear,118.4,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,RR_low,RR_low_B,1,marsh ,natural,total carbon,,,0,52,54.4,,,,gramsPerSquareMeterPerYear,74.9,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,RR_mid,RR_mid_A,1,marsh ,natural,total carbon,,,0,46,92.7,,,,gramsPerSquareMeterPerYear,129.1,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,RR_mid,RR_mid_B,1,marsh ,natural,total carbon,,,0,52,90,,,,gramsPerSquareMeterPerYear,106.7,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,RR_high,RR_high_A,1,marsh ,natural,total carbon,,,0,52,88.2,,,,gramsPerSquareMeterPerYear,79.1,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,RR_high,RR_high_B,1,marsh ,natural,total carbon,,,0,50,86.9,,,,gramsPerSquareMeterPerYear,121.5,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,BRI_low,BRI_low_A,1,marsh ,natural,total carbon,,,0,52,88.9,,,,gramsPerSquareMeterPerYear,158.4,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,BRI_mid,BRI_mid_A,1,marsh ,natural,total carbon,,,0,50,153.9,,,,gramsPerSquareMeterPerYear,165.5,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,BRI_mid,BRI_mid_B,1,marsh ,natural,total carbon,,,0,46,79.9,,,,gramsPerSquareMeterPerYear,150.2,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,BRI_high,BRI_high_A,1,marsh ,natural,total carbon,,,0,54,120.2,,,,gramsPerSquareMeterPerYear,174.1,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Callaway_et_al_2019,BRI_high,BRI_high_B,1,marsh ,natural,total carbon,,,0,54,112.9,,,,gramsPerSquareMeterPerYear,129.6,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Craft_2007,Altamaha_River,,6,marsh,natural,organic carbon,,,0,30,,,,,,108,21,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Craft_2007,Doboy_Sound,,6,marsh,natural,organic carbon,,,0,30,,,,,,32,6,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Craft_2007,Sapelo_River,,6,marsh,natural,organic carbon,,,0,30,,,,,,21,5,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Drexler_et_al_2009,Frank_Wetland ,FW,1,marsh ,natural,sediment accretion,,,0,730,,,,,,,,,,,,0.12,0.03,centimeterPerYear,,,,,"needs more investigation, TT core has 2 different accretion rate estimates ",
Drexler_et_al_2009,Tip_of_Mandeville_Tip,TT,1,marsh ,natural,sediment accretion,,,0,666,,,,,,,,,,,,0.17,0.06,centimeterPerYear,,,,,"average of 0.13 , 0.21",
Drexler_et_al_2009,Bacon Channel Island,BACHI,1,marsh ,natural,sediment accretion,,,0,894,,,,,,,,,,,,0.16,0.07,centimeterPerYear,,,,,,
Drexler_et_al_2009,Browns_Island,BRI,1,marsh ,natural,sediment accretion,,,0,775,,,,,,,,,,,,0.18,0.11,centimeterPerYear,,,,,,
Drexler_et_al_2013,Hasty Point,,2,marsh ,disturbed,total carbon,,,0,16-84,50-200,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,Cs137 peaks used to validate but not directly date cores,"range of multiple sequestration rates provided for treatment period, but individual rates would need to be extracted from the graphs",
Drexler_et_al_2013,Wardlaw 1 ,,2,marsh ,disturbed,total carbon,,,0,16-84,50-200,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Drexler_et_al_2013,Sandy Island Managed ,,2,marsh ,disturbed,total carbon,,,0,16-84,100-435,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Drexler_et_al_2013,Sandy Island Tidal,,2,marsh ,disturbed,total carbon,,,0,16-84,100-435,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Drexler_et_al_2013,Coastal EDU,,2,marsh ,disturbed,total carbon,,,0,16-84,100-250,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Drexler_et_al_2013,Bird Field Managed ,,2,marsh ,disturbed,total carbon,,,0,16-84,100-250,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Drexler_et_al_2019,SG,SG4,1,marsh,restored,organic carbon,,,,,190,,,,gramsPerSquareMeterPerYear,,,,164,54,gramsPerSquareMeterPerYear,,,,,,,,,
Drexler_et_al_2019,SG,SG5,1,marsh,restored,organic carbon,,,,,224,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Drexler_et_al_2019,SG,SG6,1,marsh,restored,organic carbon,,,,,139,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Drexler_et_al_2019,SG,SG10,1,marsh,restored,organic carbon,,,,,141,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Drexler_et_al_2019,SG,SG11,1,marsh,restored,organic carbon,,,,,81,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Drexler_et_al_2019,SG,SG12,1,marsh,restored,organic carbon,,,,,210,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Drexler_et_al_2019,AS,AS7,1,marsh,restored,organic carbon,,,,,140,15,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Drexler_et_al_2019,AS,AS8,1,marsh,restored,organic carbon,,,,,123,8,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Drexler_et_al_2019,AS,AS9,1,marsh,restored,organic carbon,,,,,129,15,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Drexler_et_al_2019,AS,AS14,1,marsh,restored,organic carbon,,,,,168,11,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Drexler_et_al_2019,AS,AS15,1,marsh,restored,organic carbon,,,,,129,8,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Drexler_et_al_2019,AS,AS16,1,marsh,restored,organic carbon,,,,,115,10,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Ensign_et_al_2020,Choptank,Choptank_non_tidal,1,swamp,natural,total carbon,,,,,,,,,,94,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Ensign_et_al_2020,Choptank,Choptank_head_of_tide,1,swamp,natural,total carbon,,,,,,,,,,182,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Ensign_et_al_2020,Choptank,Choptank_TFFW,1,swamp,natural,total carbon,,,,,,,,,,105,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Ensign_et_al_2020,Choptank,Choptank_marsh,1,marsh,natural,total carbon,,,,,,,,,,180,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Ensign_et_al_2020,Pocomoke,Pocomoke_non_tidal,1,swamp,natural,total carbon,,,,,,,,,,61,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Ensign_et_al_2020,Pocomoke,Pocomoke_head_of_tide,1,swamp,natural,total carbon,,,,,,,,,,154,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Ensign_et_al_2020,Pocomoke,Pocomoke_TFFW,1,swamp,natural,total carbon,,,,,,,,,,135,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Ensign_et_al_2020,Pocomoke,Pocomoke_marsh,1,marsh,natural,total carbon,,,,,,,,,,176,,gramsPerSquareMeterPerYear,,,,,,,,,,,,
Gerlach_et_al_2017,Mill_Bayou,LMR_14_9B,1,marsh,disturbed,sediment accretion,,,0,125,,,,,,,,millimeterPerYear,"pollen, pollution chronohorizons ",,,,,,,,,"radiocarbon, pollution and pollen markers, and cs137 all utilitzed in agedepth model (Bchron), sed accumulation rate graphically represented, but never provided outright. ",,
Johnson_et_al_2007,Sprague_Marsh,SM02-VC1,1,marsh ,natural,total carbon,,,0,310,,,,,,,,,,,,40,,gramsPerSquareMeterPerYear,,,,,,
Kemp_et_al_2020,Barnegat_Bay,BB1B,1,marsh,disturbed,organic carbon,,,,36,0.25,,,,centimeterPerYear,0.25,,centimeterPerYear,,,,,,,,,,,,
Krauss_et_al_2018,Savannah_upper,,1,swamp,restored,total carbon,803.3,megagramsPerHectare,0,140,,,,,,,,,,,,72.9,8.8,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_GBC,
Krauss_et_al_2018,Savannah_middle,,1,swamp,restored,total carbon,464.8,megagramsPerHectare,0,140,,,,,,,,,,,,34.4,15.1,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_GBC,
Krauss_et_al_2018,Savannah_lower,,1,swamp,restored,total carbon,1033.5,megagramsPerHectare,0,140,,,,,,,,,,,,336.6,151.7,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_GBC,
Krauss_et_al_2018,Savannah_marsh,,1,marsh,restored,total carbon,454.8,megagramsPerHectare,0,140,,,,,,,,,,,,142.2,95,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_GBC,
Krauss_et_al_2018,Waccamaw_upper,,1,swamp,restored,total carbon,180.5,megagramsPerHectare,0,140,,,,,,,,,,,,11.2,2.9,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_GBC,
Krauss_et_al_2018,Waccamaw_middle,,1,swamp,restored,total carbon,397.7,megagramsPerHectare,0,140,,,,,,,,,,,,23.7,3.9,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_GBC,
Krauss_et_al_2018,Waccamaw_lower,,1,swamp,restored,total carbon,478.6,megagramsPerHectare,0,140,,,,,,,,,,,,7,0.8,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_GBC,
Krauss_et_al_2018,Waccamaw_marsh,,1,marsh,restored,total carbon,1258.8,megagramsPerHectare,0,140,,,,,,,,,,,,51.1,35,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_GBC,
Krauss_et_al_2018,Savannah_oligohaline_marsh,,1,marsh,restored,organic carbon,,,0,50,,,,,,,,,,,,96.9,,gramsPerSquareMeterPerYear,,,,"radiocarbon dating, marker type pollen; specific definition of accretion v accumulation used",Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Savannah_oligohaline_marsh,,1,marsh,restored,organic carbon,,,50,100,,,,,,,,,,,,101.3,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Savannah_oligohaline_marsh,,1,marsh,restored,organic carbon,,,100,150,,,,,,,,,,,,20.3,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Savannah_oligohaline_marsh,,1,marsh,restored,organic carbon,,,150,200,,,,,,,,,,,,12.6,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Savannah_oligohaline_marsh,,1,marsh,restored,organic carbon,,,200,250,,,,,,,,,,,,13.9,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Savannah_oligohaline_marsh,,1,marsh,restored,organic carbon,,,250,300,,,,,,,,,,,,15.6,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Savannah_oligohaline_marsh,,1,marsh,restored,organic carbon,,,300,350,,,,,,,,,,,,25.6,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Savannah_degrading_TFFW,,1,swamp,restored,organic carbon,,,0,50,,,,,,,,,,,,286.6,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Savannah_degrading_TFFW,,1,swamp,restored,organic carbon,,,50,100,,,,,,,,,,,,267.6,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Savannah_degrading_TFFW,,1,swamp,restored,organic carbon,,,100,150,,,,,,,,,,,,31.5,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Savannah_degrading_TFFW,,1,swamp,restored,organic carbon,,,150,200,,,,,,,,,,,,38.3,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Savannah_degrading_TFFW,,1,swamp,restored,organic carbon,,,200,250,,,,,,,,,,,,41.1,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Savannah_upper_fresh_TFFW,,1,swamp,restored,organic carbon,,,0,50,,,,,,,,,,,,86.4,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Savannah_upper_fresh_TFFW,,1,swamp,restored,organic carbon,,,50,100,,,,,,,,,,,,46,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Savannah_upper_fresh_TFFW,,1,swamp,restored,organic carbon,,,100,150,,,,,,,,,,,,20.7,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Savannah_upper_fresh_TFFW,,1,swamp,restored,organic carbon,,,150,200,,,,,,,,,,,,4.8,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Savannah_upper_fresh_TFFW,,1,swamp,restored,organic carbon,,,200,250,,,,,,,,,,,,5.3,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Savannah_upper_fresh_TFFW,,1,swamp,restored,organic carbon,,,250,300,,,,,,,,,,,,12.1,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Savannah_upper_fresh_TFFW,,1,swamp,restored,organic carbon,,,300,350,,,,,,,,,,,,19.3,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Waccamaw_oligohaline_marsh,,1,marsh,restored,organic carbon,,,0,50,,,,,,,,,,,,74.1,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Waccamaw_oligohaline_marsh,,1,marsh,restored,organic carbon,,,50,100,,,,,,,,,,,,37.9,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Waccamaw_degrading_TFFW,,1,swamp,restored,organic carbon,,,0,50,,,,,,,,,,,,13.2,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Waccamaw_degrading_TFFW,,1,swamp,restored,organic carbon,,,50,100,,,,,,,,,,,,3.1,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Waccamaw_middle_fresh_TFFW,,1,swamp,restored,organic carbon,,,0,50,,,,,,,,,,,,32.4,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Waccamaw_middle_fresh_TFFW,,1,swamp,restored,organic carbon,,,50,100,,,,,,,,,,,,19.3,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Waccamaw_upper_fresh_TFFW,,1,swamp,restored,organic carbon,,,0,50,,,,,,,,,,,,7.3,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Krauss_et_al_2018,Waccamaw_upper_fresh_TFFW,,1,swamp,restored,organic carbon,,,50,100,,,,,,,,,,,,8.02,,gramsPerSquareMeterPerYear,,,,,Krauss_et_al_2018_Holocene,
Lagomasino_et_al_2020,Huddy_Gut,HG1,1,marsh,disturbed,sediment accretion,,,,,,,,,,,,,,,,,,,,,,,,
Lagomasino_et_al_2020,Huddy_Gut,HG2,1,marsh,disturbed,sediment accretion,,,,,,,,,,,,,,,,,,,,,,,,
Lagomasino_et_al_2020,Huddy_Gut,HG3,1,marsh,disturbed,sediment accretion,,,,,0.35,0.03,,,centimeterPerYear,0.33,0.02,centimeterPerYear,,,,,,,,,,,,
Lagomasino_et_al_2020,Porpoise_Point,PP1,1,marsh,disturbed,sediment accretion,,,,,0.36,0.03,,,centimeterPerYear,0.2,,centimeterPerYear,,,,,,,,,,,,
Lagomasino_et_al_2020,Porpoise_Point,PP2,1,marsh,disturbed,sediment accretion,,,,,0.3,0.04,,,centimeterPerYear,0.11,,centimeterPerYear,,,,,,,,,,,,
Lagomasino_et_al_2020,Porpoise_Point,PP3,1,marsh,disturbed,sediment accretion,,,,,0.28,0.01,,,centimeterPerYear,0.2,0.02,centimeterPerYear,,,,,,,,,,,,
Luk_et_al_2020,SITE_1,,3,marsh,natural,sediment accretion,,,,,4.06,0.48,1.9,0.49,millimeterPerYear,,,,,,,,,,,,,,provides study level accumulation outputs for both CRS and CIC models (based on Pb210).,S3
Luk_et_al_2020,SITE_2,,3,marsh,natural,sediment accretion,,,,,3.47,0.52,2.61,0.91,millimeterPerYear,,,,,,,,,,,,,,,S3
Luk_et_al_2020,SITE_3,,3,marsh,natural,sediment accretion,,,,,6.4,0.9,2.91,0.56,millimeterPerYear,,,,,,,,,,,,,,,S3
McTigue_et_al_2020,Traps_Bay,1L,,marsh,disturbed,organic carbon,,,0,224,,,,,,,,,,,,39,0.3,gramsPerSquareMeterPerYear,,,,,,
McTigue_et_al_2020,Traps_Bay,2L,,marsh,disturbed,organic carbon,,,0,194,,,,,,,,,,,,38,2,gramsPerSquareMeterPerYear,,,,,,
McTigue_et_al_2020,Traps_Bay,3L,,marsh,disturbed,organic carbon,,,0,90,,,,,,,,,,,,49,5,gramsPerSquareMeterPerYear,,,,,,
McTigue_et_al_2020,Traps_Bay,2L-Pb,,marsh,disturbed,organic carbon,,,0,2,167,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
McTigue_et_al_2020,Traps_Bay,2L-Pb,,marsh,disturbed,organic carbon,,,2,4,122,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
McTigue_et_al_2020,Traps_Bay,2L-Pb,,marsh,disturbed,organic carbon,,,4,6,133,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
McTigue_et_al_2020,Traps_Bay,2L-Pb,,marsh,disturbed,organic carbon,,,6,8,135,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
McTigue_et_al_2020,Traps_Bay,2L-Pb,,marsh,disturbed,organic carbon,,,8,10,135,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
McTigue_et_al_2020,Traps_Bay,2L-Pb,,marsh,disturbed,organic carbon,,,10,12,138,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
McTigue_et_al_2020,Traps_Bay,2L-Pb,,marsh,disturbed,organic carbon,,,12,14,148,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
McTigue_et_al_2020,Traps_Bay,2L-Pb,,marsh,disturbed,organic carbon,,,14,16,149,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
McTigue_et_al_2020,Traps_Bay,2L-Pb,,marsh,disturbed,organic carbon,,,16,18,149,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
McTigue_et_al_2020,Traps_Bay,2L-Pb,,marsh,disturbed,organic carbon,,,18,20,147,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
McTigue_et_al_2020,Traps_Bay,2L-Pb,,marsh,disturbed,organic carbon,,,20,22,147,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
McTigue_et_al_2020,Traps_Bay,2L-Pb,,marsh,disturbed,organic carbon,,,22,24,143,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
McTigue_et_al_2020,Traps_Bay,2L-Pb,,marsh,disturbed,organic carbon,,,24,26,135,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
McTigue_et_al_2020,Traps_Bay,2L-Pb,,marsh,disturbed,organic carbon,,,26,28,127,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
McTigue_et_al_2020,Traps_Bay,2L-Pb,,marsh,disturbed,organic carbon,,,28,30,116,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
McTigue_et_al_2020,Traps_Bay,2L-Pb,,marsh,disturbed,organic carbon,,,30,32,99,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Noe_et_al_2016,Tidal freshwater forest,W1,1,swamp,restored,total carbon,,,,,61,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Noe_et_al_2016,Moderately salt-impacted forest,W2,1,swamp,restored,total carbon,,,,,56,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Noe_et_al_2016,Highly salt-impacted forest,W3,1,swamp,restored,total carbon,,,,,65,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Noe_et_al_2016,Oligohaline marsh,W4,1,marsh,restored,total carbon,,,,,21,,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Peck_et_al_2020,Netarts,,1,mudflat,natural,organic carbon,,,,,51,8,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Peck_et_al_2020,Netarts,,14,marsh,natural,organic carbon,,,,,74,41,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Peck_et_al_2020,Youngs Bay,,1,marsh,natural,organic carbon,,,,,54,8,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Peck_et_al_2020,Youngs Bay,,4,marsh,natural,organic carbon,,,,,107,43,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Peck_et_al_2020,Nehalem,,1,marsh,natural,organic carbon,,,,,49,7,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Peck_et_al_2020,Nehalem,,5,marsh,natural,organic carbon,,,,,120,39,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Peck_et_al_2020,Alsea,,3,marsh,natural,organic carbon,,,,,67,21,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Peck_et_al_2020,Alsea,,7,marsh,natural,organic carbon,,,,,63,19,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Peck_et_al_2020,Tillamook,,4,marsh,natural,organic carbon,,,,,88,20,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
Peck_et_al_2020,Salmon River,,7,marsh,natural,organic carbon,,,,,79,21,,,gramsPerSquareMeterPerYear,,,,,,,,,,,,,,,
